+----------+---------------------+-------------+------------------+--------------------+------------+---------+----------+------------+
, order_id , order_date          , customer_id , city             , province           , product_id , brand   , quantity , item_price ,
+----------+---------------------+-------------+------------------+--------------------+------------+---------+----------+------------+
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P0648      , BRAND_C ,        4 ,    1934000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P3826      , BRAND_V ,        8 ,     604000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P1508      , BRAND_G ,       12 ,     747000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P0520      , BRAND_B ,       12 ,     450000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P1513      , BRAND_G ,        3 ,    1500000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P3911      , BRAND_V ,        3 ,    2095000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P1780      , BRAND_H ,        3 ,    2095000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P3132      , BRAND_S ,        3 ,    1745000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P1342      , BRAND_F ,        6 ,    1045000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P2556      , BRAND_P ,        6 ,    1045000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P2154      , BRAND_M ,        4 ,    1745000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P1685      , BRAND_H ,       12 ,     747000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P3665      , BRAND_S ,        4 ,    2375000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P0219      , BRAND_A ,        8 ,    1045000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P1680      , BRAND_H ,       12 ,     747000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P1679      , BRAND_H ,       12 ,     747000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P2159      , BRAND_M ,       24 ,     310000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P3837      , BRAND_V ,        4 ,    1500000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P2783      , BRAND_P ,        2 ,     555000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P1255      , BRAND_E ,        3 ,    1500000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P1118      , BRAND_D ,        4 ,    2795000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P2660      , BRAND_P ,        6 ,    1045000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P1597      , BRAND_G ,       18 ,     520000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P0968      , BRAND_C ,        6 ,     904000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P4075      , BRAND_W ,        6 ,     904000 ,
,  1612339 , 2019-01-01 00:00:00 ,       18055 , Jakarta Selatan  , DKI Jakarta        , P4057      , BRAND_W ,        4 ,    2095000 ,
